VZA VAZ SZA SAZ WV OZ AOT XA_SWIR XB_SWIR XC_SWIR 
650 1000 0 0 90 0 200 1748 1149 3868
650 1000 0 0 90 0 300 1818 1833 5362
650 1000 0 0 90 0 400 1889 2607 6722
650 1000 0 0 90 0 500 1961 3465 7979
650 1000 0 0 90 0 600 2037 4403 9152
650 1000 0 0 90 0 700 2114 5417 10254
650 1000 0 0 90 0 800 2192 6503 11296
650 1000 0 0 90 0 900 2271 7657 12283
650 1000 0 0 90 60 0 1618 80 125
650 1000 0 0 90 60 100 1682 562 2184
650 1000 0 0 90 60 200 1748 1149 3868
650 1000 0 0 90 60 300 1818 1833 5362
650 1000 0 0 90 60 400 1889 2607 6722
650 1000 0 0 90 60 500 1961 3465 7979
650 1000 0 0 90 60 600 2037 4403 9152
650 1000 0 0 90 60 700 2114 5417 10254
650 1000 0 0 90 60 800 2192 6503 11296
650 1000 0 0 90 60 900 2271 7657 12283
650 1000 0 0 90 120 0 1618 80 125
650 1000 0 0 90 120 100 1682 562 2184
650 1000 0 0 90 120 200 1748 1149 3868
650 1000 0 0 90 120 300 1818 1833 5362
650 1000 0 0 90 120 400 1889 2607 6722
650 1000 0 0 90 120 500 1961 3465 7979
650 1000 0 0 90 120 600 2037 4403 9152
650 1000 0 0 90 120 700 2114 5417 10254
650 1000 0 0 90 120 800 2192 6503 11296
650 1000 0 0 90 120 900 2271 7657 12283
650 1000 0 0 90 180 0 1618 80 125
650 1000 0 0 90 180 100 1682 562 2184
650 1000 0 0 90 180 200 1748 1149 3868
650 1000 0 0 90 180 300 1818 1833 5362
650 1000 0 0 90 180 400 1889 2607 6722
650 1000 0 0 90 180 500 1961 3465 7979
650 1000 0 0 90 180 600 2037 4403 9152
650 1000 0 0 90 180 700 2114 5417 10254
650 1000 0 0 90 180 800 2192 6503 11296
650 1000 0 0 90 180 900 2271 7657 12283
650 1000 0 0 90 240 0 1618 80 125
650 1000 0 0 90 240 100 1682 562 2184
650 1000 0 0 90 240 200 1748 1149 3868
650 1000 0 0 90 240 300 1818 1833 5362
650 1000 0 0 90 240 400 1889 2607 6722
650 1000 0 0 90 240 500 1961 3465 7979
650 1000 0 0 90 240 600 2037 4403 9152
650 1000 0 0 90 240 700 2114 5417 10254
650 1000 0 0 90 240 800 2192 6503 11296
650 1000 0 0 90 240 900 2271 7657 12283
650 1000 0 0 90 300 0 1618 80 125
650 1000 0 0 90 300 100 1682 562 2184
650 1000 0 0 90 300 200 1748 1149 3868
650 1000 0 0 90 300 300 1818 1833 5362
650 1000 0 0 90 300 400 1889 2607 6722
650 1000 0 0 90 300 500 1961 3465 7979
650 1000 0 0 90 300 600 2037 4403 9152
650 1000 0 0 90 300 700 2114 5417 10254
650 1000 0 0 90 300 800 2192 6503 11296
650 1000 0 0 90 300 900 2271 7657 12283
650 1000 0 0 90 360 0 1618 80 125
650 1000 0 0 90 360 100 1682 562 2184
650 1000 0 0 90 360 200 1748 1149 3868
650 1000 0 0 90 360 300 1818 1833 5362
650 1000 0 0 90 360 400 1889 2607 6722
650 1000 0 0 90 360 500 1961 3465 7979
650 1000 0 0 90 360 600 2037 4403 9152
650 1000 0 0 90 360 700 2114 5417 10254
650 1000 0 0 90 360 800 2192 6503 11296
650 1000 0 0 90 360 900 2271 7657 12283
650 1000 0 60 0 0 0 1342 66 125
650 1000 0 60 0 0 100 1395 522 2184
650 1000 0 60 0 0 200 1450 1077 3868
650 1000 0 60 0 0 300 1508 1723 5362
650 1000 0 60 0 0 400 1567 2455 6722
650 1000 0 60 0 0 500 1628 3266 7979
650 1000 0 60 0 0 600 1689 4151 9152
650 1000 0 60 0 0 700 1754 5110 10254
650 1000 0 60 0 0 800 1818 6136 11296
650 1000 0 60 0 0 900 1884 7226 12283
650 1000 0 60 0 60 0 1342 66 125
650 1000 0 60 0 60 100 1395 522 2184
650 1000 0 60 0 60 200 1450 1077 3868
650 1000 0 60 0 60 300 1508 1723 5362
650 1000 0 60 0 60 400 1567 2455 6722
650 1000 0 60 0 60 500 1628 3266 7979
650 1000 0 60 0 60 600 1689 4151 9152
650 1000 0 60 0 60 700 1754 5110 10254
650 1000 0 60 0 60 800 1818 6136 11296
650 1000 0 60 0 60 900 1884 7226 12283
650 1000 0 60 0 120 0 1342 66 125
650 1000 0 60 0 120 100 1395 522 2184
650 1000 0 60 0 120 200 1450 1077 3868
650 1000 0 60 0 120 300 1508 1723 5362
650 1000 0 60 0 120 400 1567 2455 6722
650 1000 0 60 0 120 500 1628 3266 7979
650 1000 0 60 0 120 600 1689 4151 9152
650 1000 0 60 0 120 700 1754 5110 10254
650 1000 0 60 0 120 800 1818 6136 11296
650 1000 0 60 0 120 900 1884 7226 12283
650 1000 0 60 0 180 0 1342 66 125
650 1000 0 60 0 180 100 1395 522 2184
650 1000 0 60 0 180 200 1450 1077 3868
650 1000 0 60 0 180 300 1508 1723 5362
650 1000 0 60 0 180 400 1567 2455 6722
650 1000 0 60 0 180 500 1628 3266 7979
