DATE LAT LON BAND_1 BAND_2 BAND_3 BAND_4 BAND_5, BAND_9, CLM
20120620.0000 -13.0285 -50.3626 0.0990 0.2517 0.2680 298.1437 241.5899 295.1699 0.0000
20120620.0000 -13.0285 -50.3278 0.1033 0.2449 0.2812 298.9178 241.6468 295.1699 0.0000
20120620.0000 -13.0285 -50.2929 0.1033 0.2449 0.2812 298.9178 241.6468 295.1699 0.0000
20120620.0000 -13.0285 -50.2581 0.1149 0.2347 0.3192 301.2138 241.7604 296.0557 0.0000
20120620.0000 -13.0285 -50.2232 0.1149 0.2347 0.3192 301.2138 241.7604 296.0557 0.0000
20120620.0000 -13.0285 -50.1884 0.1177 0.2412 0.3273 301.6526 241.9299 296.4332 0.0000
20120620.0000 -13.0285 -50.1536 0.1133 0.2461 0.3155 300.4982 242.2106 296.1816 0.0000
20120620.0000 -13.0285 -50.1187 0.1133 0.2461 0.3155 300.4982 242.2106 296.1816 0.0000
20120620.0000 -13.0285 -50.0839 0.1147 0.2459 0.3220 300.2254 242.1547 296.3075 0.0000
20120620.0000 -13.0285 -50.0490 0.1103 0.2358 0.3052 299.9500 242.2665 296.3075 0.0000
20120620.0000 -13.0285 -50.0142 0.1103 0.2358 0.3052 299.9500 242.2665 296.3075 0.0000
20120620.0000 -13.0285 -49.9794 0.1073 0.2274 0.2917 299.4853 242.3222 296.1816 0.0000
20120620.0000 -13.0285 -49.9445 0.1130 0.2272 0.3065 300.1339 242.0425 296.5587 0.0000
20120620.0000 -13.0285 -49.9097 0.1130 0.2272 0.3065 300.1339 242.0425 296.5587 0.0000
20120620.0000 -13.0285 -49.8748 0.1173 0.2271 0.3212 300.8582 242.2106 296.5587 0.0000
20120620.0000 -13.0285 -49.8400 0.1173 0.2271 0.3212 300.8582 242.2106 296.5587 0.0000
20120620.0000 -13.0285 -49.2825 0.1080 0.2241 0.2963 299.9500 242.3222 295.9296 0.0000
20120620.0000 -13.0285 -49.2477 0.1080 0.2241 0.2963 299.9500 242.3222 295.9296 0.0000
20120620.0000 -13.0285 -49.2129 0.1093 0.2273 0.2977 299.8576 242.3222 295.8033 0.0000
20120620.0000 -13.0285 -49.1780 0.1078 0.2288 0.2943 299.8576 242.3222 295.6769 0.0000
20120620.0000 -13.0285 -49.1432 0.1078 0.2288 0.2943 299.8576 242.3222 295.6769 0.0000
20120620.0000 -13.0285 -49.1083 0.1006 0.2270 0.2695 298.6299 242.5996 295.1699 0.0000
20120620.0000 -13.0285 -49.0735 0.0991 0.2319 0.2628 298.0455 242.7649 294.7882 0.0000
20120620.0000 -13.0285 -49.0387 0.0991 0.2319 0.2628 298.0455 242.7649 294.7882 0.0000
20120620.0000 -13.0285 -49.0038 0.1062 0.2284 0.2823 299.3914 242.9840 295.2969 0.0000
20120620.0000 -13.0285 -48.9690 0.1047 0.2267 0.2904 299.5788 242.8746 295.6769 0.0000
20120620.0000 -13.0285 -48.9341 0.1047 0.2267 0.2904 299.5788 242.8746 295.6769 0.0000
20120620.0000 -13.0285 -48.8993 0.1004 0.2331 0.2787 298.8221 242.7649 295.4237 0.0000
20120620.0000 -13.0285 -48.8645 0.1032 0.2313 0.2736 298.7262 242.5443 295.1699 0.0000
20120620.0000 -13.0285 -48.8296 0.1032 0.2313 0.2736 298.7262 242.5443 295.1699 0.0000
20120620.0000 -13.0285 -48.7948 0.1031 0.2345 0.2669 298.1437 242.1547 294.0208 0.0000
20120620.0000 -13.0285 -48.7599 0.1046 0.2410 0.2669 297.3486 241.6468 292.4698 0.0000
20120620.0000 -13.0285 -48.7251 0.1046 0.2410 0.2669 297.3486 241.6468 292.4698 0.0000
20120620.0000 -13.0285 -48.6903 0.1045 0.2426 0.2586 296.7376 241.0731 291.4235 0.0000
20120620.0000 -13.0285 -48.6554 0.1044 0.2457 0.2454 295.5829 240.5480 290.1013 0.0000
20120620.0000 -13.0285 -46.8089 0.1814 0.2898 0.3200 299.8576 242.3222 294.9156 0.0000
20120620.0000 -13.0285 -46.7740 0.1814 0.2898 0.3200 299.8576 242.3222 294.9156 0.0000
20120620.0000 -13.0285 -46.7392 0.2137 0.2945 0.3584 300.0421 242.3779 294.0208 0.0000
20120620.0000 -13.0285 -46.7043 0.1349 0.2332 0.3406 301.9127 242.3779 296.4332 0.0000
20120620.0000 -13.0285 -46.6695 0.1770 0.2910 0.3645 301.5653 242.2665 295.0428 0.0000
20120620.0000 -13.0285 -46.6346 0.1770 0.2910 0.3645 301.5653 242.2665 295.0428 0.0000
